         437420278 function calls (437414804 primitive calls) in 151.708 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
  6000020    0.735    0.000    0.735    0.000 C:\Python313\Lib\site-packages\pandas\core\internals\managers.py:180(blknos)
  6000020    0.718    0.000    0.718    0.000 C:\Python313\Lib\site-packages\pandas\core\internals\managers.py:196(blklocs)
  6000018    0.647    0.000    0.647    0.000 C:\Python313\Lib\site-packages\pandas\core\generic.py:696(ndim)
  6000027    0.565    0.000    0.565    0.000 C:\Python313\Lib\site-packages\pandas\core\internals\managers.py:1940(_block)
  6000031    0.503    0.000    0.503    0.000 C:\Python313\Lib\site-packages\pandas\core\generic.py:363(attrs)
  6000031    0.473    0.000    0.473    0.000 C:\Python313\Lib\site-packages\pandas\core\flags.py:55(allows_duplicate_labels)
  4000272    0.380    0.000    0.380    0.000 {built-in method builtins.abs}
    14602    0.011    0.000    0.341    0.000 C:\Python313\Lib\site-packages\scipy\integrate\_ivp\base.py:251(__call__)
    14602    0.141    0.000    0.329    0.000 C:\Python313\Lib\site-packages\scipy\integrate\_ivp\rk.py:560(_call_impl)
        1    0.000    0.000    0.315    0.315 C:\Python313\Lib\site-packages\pandas\util\_decorators.py:325(wrapper)
        1    0.000    0.000    0.315    0.315 C:\Python313\Lib\site-packages\pandas\core\generic.py:2262(to_excel)
        1    0.000    0.000    0.311    0.311 C:\Python313\Lib\site-packages\pandas\io\formats\excel.py:893(write)
    196/7    0.001    0.000    0.267    0.038 <frozen importlib._bootstrap>:1349(_find_and_load)
    195/6    0.001    0.000    0.266    0.044 <frozen importlib._bootstrap>:1304(_find_and_load_unlocked)
    184/4    0.001    0.000    0.264    0.066 <frozen importlib._bootstrap>:911(_load_unlocked)
    182/4    0.001    0.000    0.264    0.066 <frozen importlib._bootstrap_external>:1020(exec_module)
        1    0.000    0.000    0.261    0.261 C:\Python313\Lib\site-packages\pandas\io\excel\_openpyxl.py:44(__init__)
    391/9    0.000    0.000    0.261    0.029 <frozen importlib._bootstrap>:480(_call_with_frames_removed)
    182/4    0.001    0.000    0.260    0.065 {built-in method builtins.exec}
     16/2    0.000    0.000    0.259    0.130 {built-in method builtins.__import__}
        1    0.000    0.000    0.257    0.257 C:\Users\prasun_agarwal\AppData\Roaming\Python\Python313\site-packages\openpyxl\__init__.py:1(<module>)
  2460610    0.254    0.000    0.254    0.000 {built-in method numpy.lib.array_utils.normalize_axis_index}
        1    0.000    0.000    0.227    0.227 C:\Users\prasun_agarwal\AppData\Roaming\Python\Python313\site-packages\openpyxl\workbook\__init__.py:1(<module>)
        1    0.000    0.000    0.226    0.226 C:\Users\prasun_agarwal\AppData\Roaming\Python\Python313\site-packages\openpyxl\workbook\workbook.py:1(<module>)
   820170    0.191    0.000    0.191    0.000 {method 'transpose' of 'numpy.ndarray' objects}
   546882    0.182    0.000    0.182    0.000 {method 'astype' of 'numpy.ndarray' objects}
   820799    0.164    0.000    0.164    0.000 {built-in method builtins.sorted}
   380233    0.135    0.000    0.135    0.000 {built-in method numpy.array}
    15155    0.018    0.000    0.131    0.000 C:\Python313\Lib\site-packages\scipy\integrate\_ivp\rk.py:108(_estimate_error_norm)
        1    0.000    0.000    0.128    0.128 C:\Users\prasun_agarwal\AppData\Roaming\Python\Python313\site-packages\openpyxl\writer\excel.py:1(<module>)
  1640940    0.119    0.000    0.119    0.000 {built-in method _operator.index}
    14602    0.055    0.000    0.108    0.000 C:\Python313\Lib\site-packages\numpy\lib\_shape_base_impl.py:1204(tile)
   820180    0.101    0.000    0.101    0.000 {method 'insert' of 'list' objects}
    29692    0.017    0.000    0.101    0.000 C:\Python313\Lib\site-packages\numpy\_core\fromnumeric.py:51(_wrapfunc)
      182    0.002    0.000    0.085    0.000 <frozen importlib._bootstrap_external>:1093(get_code)
    15455    0.020    0.000    0.085    0.000 C:\Python313\Lib\site-packages\scipy\integrate\_ivp\common.py:63(norm)
        1    0.000    0.000    0.084    0.084 C:\Users\prasun_agarwal\AppData\Roaming\Python\Python313\site-packages\openpyxl\drawing\spreadsheet_drawing.py:1(<module>)
   273740    0.080    0.000    0.080    0.000 {built-in method numpy.empty}
      571    0.003    0.000    0.079    0.000 {built-in method builtins.__build_class__}
        1    0.000    0.000    0.079    0.079 C:\Users\prasun_agarwal\AppData\Roaming\Python\Python313\site-packages\openpyxl\worksheet\worksheet.py:1(<module>)
    14602    0.007    0.000    0.076    0.000 C:\Python313\Lib\site-packages\numpy\_core\fromnumeric.py:3453(cumprod)
    15655    0.036    0.000    0.065    0.000 C:\Python313\Lib\site-packages\numpy\linalg\_linalg.py:2575(norm)
668820/668817    0.065    0.000    0.065    0.000 {built-in method numpy.asarray}
   820170    0.064    0.000    0.064    0.000 C:\Python313\Lib\site-packages\numpy\_core\numeric.py:1444(_moveaxis_dispatcher)
      182    0.001    0.000    0.059    0.000 <frozen importlib._bootstrap_external>:1214(get_data)
    14602    0.059    0.000    0.059    0.000 {method 'cumprod' of 'numpy.ndarray' objects}
    14602    0.006    0.000    0.058    0.000 C:\Python313\Lib\site-packages\scipy\integrate\_ivp\base.py:208(dense_output)
      419    0.005    0.000    0.057    0.000 C:\Users\prasun_agarwal\AppData\Roaming\Python\Python313\site-packages\openpyxl\descriptors\__init__.py:23(__new__)
    14602    0.014    0.000    0.052    0.000 C:\Python313\Lib\site-packages\scipy\integrate\_ivp\rk.py:178(_dense_output_impl)
        1    0.000    0.000    0.050    0.050 C:\Users\prasun_agarwal\programming\Siyona\OrbitalMechanics\ringworld\LGST_Ringworld\LeakRate.py:43(find_lifetime)
      440    0.045    0.000    0.050    0.000 C:\Users\prasun_agarwal\AppData\Roaming\Python\Python313\site-packages\openpyxl\descriptors\__init__.py:9(__new__)
        1    0.000    0.000    0.049    0.049 C:\Python313\Lib\site-packages\pandas\io\excel\_base.py:451(read_excel)
      182    0.043    0.000    0.043    0.000 {built-in method _io.open_code}
    15087    0.010    0.000    0.042    0.000 C:\Python313\Lib\site-packages\numpy\_core\fromnumeric.py:1447(searchsorted)
        1    0.000    0.000    0.039    0.039 C:\Users\prasun_agarwal\AppData\Roaming\Python\Python313\site-packages\openpyxl\cell\__init__.py:1(<module>)
        1    0.000    0.000    0.038    0.038 C:\Users\prasun_agarwal\AppData\Roaming\Python\Python313\site-packages\openpyxl\cell\cell.py:1(<module>)
   273390    0.036    0.000    0.036    0.000 {built-in method numpy.promote_types}
      100    0.013    0.000    0.035    0.000 C:\Users\prasun_agarwal\programming\Siyona\OrbitalMechanics\ringworld\LGST_Ringworld\StochasticInput.py:48(stochastic_initial_conditions)
        1    0.000    0.000    0.034    0.034 C:\Users\prasun_agarwal\AppData\Roaming\Python\Python313\site-packages\openpyxl\chart\__init__.py:1(<module>)
        1    0.000    0.000    0.034    0.034 C:\Python313\Lib\site-packages\pandas\io\excel\_base.py:1355(close)
